task_id,ccg_time,ccg_program_len,ccg_rank_time_then_proglen,ccg_rank_proglen_then_time,ccgbr_time,ccgbr_program_len,ccgbr_rank_time_then_proglen,ccgbr_rank_proglen_then_time,ccgbr2_time,ccgbr2_program_len,ccgbr2_rank_time_then_proglen,ccgbr2_rank_proglen_then_time,lrg_time,lrg_program_len,lrg_rank_time_then_proglen,lrg_rank_proglen_then_time,mcccg_time,mcccg_program_len,mcccg_rank_time_then_proglen,mcccg_rank_proglen_then_time,na_time,na_program_len,na_rank_time_then_proglen,na_rank_proglen_then_time,nbccg_time,nbccg_program_len,nbccg_rank_time_then_proglen,nbccg_rank_proglen_then_time,nbhcg_time,nbhcg_program_len,nbhcg_rank_time_then_proglen,nbhcg_rank_proglen_then_time,nbvcg_time,nbvcg_program_len,nbvcg_rank_time_then_proglen,nbvcg_rank_proglen_then_time
ae3edfdc.json,1800.002003,0,,,1800.002001,0,,,1800.003473,0,,,7.485104,1,4,4,1800.037637,0,,,0.308929,0,,,6.349553,1,3,3,4.697023,1,2,2,2.546727,1,1,1
aedd82e4.json,1.320569,1,4,4,0.229995,1,1,1,0.152824,1,1,1,1800.003261,0,,,1800.001332,0,,,65.042056,0,,,0.101191,1,1,1,6.992822,0,,,1800.003412,0,,
b27ca6d3.json,1800.001957,0,,,1800.008216,0,,,1800.002530,0,,,1800.005223,0,,,1.499207,1,1,1,1800.017513,0,,,1.528389,1,1,1,1800.007822,0,,,1800.008583,0,,
b1948b0a.json,0.878906,1,1,1,1800.000940,1,4,4,1800.001120,2,5,5,3.515442,1,2,2,1800.009369,0,,,88.455299,0,,,4.382896,1,2,2,1800.015757,0,,,1800.019820,0,,
b2862040.json,1800.011321,0,,,1626.081755,3,2,2,4.715921,1,1,1,1800.042817,0,,,1800.010154,0,,,1800.019179,0,,,1800.013348,0,,,1800.053592,0,,,1800.034488,0,,
bb43febb.json,1800.003384,0,,,723.755898,0,,,668.588691,0,,,782.271659,0,,,1800.024809,0,,,13.193096,0,,,0.040905,1,1,1,1800.006955,0,,,1800.001323,0,,
c0f76784.json,286.983485,4,5,5,51.438011,4,2,4,49.147341,4,1,3,1800.015253,0,,,226.913869,3,4,2,66.824277,0,,,127.958208,3,3,1,1800.004509,0,,,1800.011916,0,,
c8f0f002.json,1.094044,1,1,1,1800.005328,0,,,1800.002646,0,,,2.457087,1,2,2,1800.029643,0,,,62.807971,0,,,6.572515,1,3,3,1800.007453,0,,,1800.007202,0,,
ce22a75a.json,1800.001467,0,,,27.296814,0,,,22.258695,0,,,1800.005744,0,,,0.059715,1,1,1,0.104748,0,,,0.121421,1,1,1,1800.005273,0,,,1800.002150,0,,
d2abd087.json,9.374781,2,2,2,10.196126,2,2,2,5.544805,2,1,1,1800.006577,0,,,1800.007668,0,,,33.701737,0,,,9.651867,2,2,2,1800.006183,0,,,1800.009910,0,,
d5d6de2d.json,4.594688,2,2,2,10.289680,3,4,4,5.733119,3,3,3,1800.007974,0,,,1800.006954,0,,,35.346116,0,,,2.150334,2,1,1,1132.985651,0,,,1800.010996,0,,
d037b0a7.json,1800.000523,0,,,1800.000939,0,,,1800.000760,0,,,0.135202,1,1,1,2.906227,2,5,5,0.093595,0,,,0.132705,1,1,1,0.146329,1,1,1,0.122607,1,1,1
d43fd935.json,1800.003219,0,,,1800.003232,0,,,1800.003257,0,,,2.468835,1,1,1,1800.669945,0,,,34.471322,0,,,3.444432,1,1,1,3.174707,1,1,1,4.071708,1,4,4
dc1df850.json,1800.000937,0,,,7.189607,0,,,6.978817,0,,,1800.004654,0,,,0.206516,1,1,1,130.269951,0,,,0.192790,1,1,1,1800.002035,0,,,1800.007058,0,,
ddf7fa4f.json,1.211237,1,1,1,0.830356,1,1,1,0.825126,1,1,1,1.089150,1,1,1,1800.004995,0,,,34.921557,0,,,1.868675,1,5,5,190.258979,5,6,6,171.693872,0,,
ea32f347.json,22.379077,5,5,5,3.739349,3,1,1,3.825164,3,1,1,5.232236,3,3,3,1800.002098,0,,,50.720768,0,,,7.360520,3,4,4,1800.007015,0,,,1800.001634,0,,
ed36ccf7.json,1800.001087,0,,,0.021472,0,,,0.013030,0,,,1800.002640,0,,,693.777977,0,,,0.006970,1,1,1,413.251755,0,,,1800.015757,0,,,1800.005726,0,,
f8a8fe49.json,1800.002122,0,,,1800.014319,0,,,1800.017813,0,,,1800.011108,0,,,7.731282,1,2,2,0.302628,0,,,1.632021,1,1,1,1800.013353,0,,,1800.019959,0,,
868de0fa.json,169.668947,2,3,3,53.840574,2,1,1,59.080084,2,2,2,1800.313835,0,,,544.060984,2,5,5,565.055550,0,,,258.145944,2,4,4,1800.036736,0,,,1800.014359,0,,
543a7ed5.json,1800.005626,0,,,1800.004388,0,,,1800.003449,0,,,1800.036227,0,,,32.802313,2,1,1,0.229237,0,,,1800.043238,0,,,1800.015757,0,,,1800.028564,0,,
6455b5f5.json,110.363216,2,1,1,1800.023494,0,,,1800.006806,0,,,1800.068973,0,,,1800.045675,0,,,1800.043980,0,,,1800.014253,0,,,1800.021938,0,,,1800.021116,0,,
